===REPORTE===
total de registros: 150

MONTO TOTAL VENDIDO: $/3.77068e+06

--------------------------------------------
VENDEDOR CON MAYOR RECAUDACIÓN:
ID vendedor: 0
total vendido: $/10377.6

--------------------------------------------
PRODUCTO MAS VENDIDO:
ID Producto: 0
Total de unidades: 46

--------------------------------------------
VENTAS SOSPECHOSAS (cantidad > 100)
IDventa	Vendedor	Producto	Cantidad
3	1		7		111
4	1		5		170
8	7		11		185
11	1		13		159
12	9		20		113
14	3		19		178
15	6		7		192
16	9		8		137
19	1		2		196
21	10		5		196
22	3		6		124
23	4		7		161
24	4		18		109
35	2		17		165
36	5		5		149
37	3		17		149
45	9		4		147
47	4		1		153
48	10		5		191
49	4		5		155
50	10		12		189
55	4		18		189
56	4		19		200
59	2		2		144
61	3		13		170
62	6		15		131
63	4		20		117
64	8		8		165
65	3		5		197
69	3		11		190
70	7		1		123
73	7		9		134
74	2		11		146
75	2		17		109
77	4		20		101
82	10		7		172
85	4		3		107
89	10		1		168
91	3		20		112
92	4		14		195
93	8		13		101
94	2		6		150
96	10		8		113
98	3		18		196
102	9		19		109
103	6		18		143
104	5		8		176
105	9		19		197
106	7		4		157
107	4		20		198
110	1		16		192
113	7		20		196
114	4		13		150
115	2		19		158
116	8		20		184
119	5		11		177
122	2		10		131
123	8		8		142
125	6		11		121
126	10		9		179
127	10		16		188
128	5		20		124
132	4		18		108
135	7		15		159
137	7		7		127
141	1		18		150
142	8		17		172
146	8		2		167
148	4		4		199
150	9		11		106
